preferred_category,preferred_type,preferred_genre,content_category,content_type,primary_genre,category_match,type_match,genre_overlap_count,genre_overlap_ratio,view_count,log_views,days_since_publish,freshness_score,label
,FILM,,,FILM,Action,0.0,1.0,0,0.0,,,543,0.3966666666666666,
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,2618.0,7.870547844507712,286,0.6822222222222223,0.07200291167726386
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,4761.0,8.468423027046809,230,0.7444444444444445,0.13459541599440175
MOVIE,FILM,Comedy,,FILM,Sci-Fi,1.0,1.0,0,0.0,2032.0,7.617267813628347,645,0.2833333333333333,0.7104047984411958
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,2929.0,7.982757702011113,297,0.6699999999999999,0.043947867460434296
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,,6.806829360392176,522,0.42000000000000004,0.653187189729207
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,251.0,5.529429087511423,126,0.86,0.35441045248395825
SERIES,SERIES,,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,4766.0,8.469472455204826,66,0.9266666666666666,0.12082148869726952
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,3061.0,8.026823576217629,0,1.0,0.7551707367247276
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,562.0,6.333279628139691,626,0.3044444444444444,0.6530010360756359
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,380.0,5.942799375126701,70,0.9222222222222223,0.7650166031353369
,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,2474.0,7.813995675002791,486,0.45999999999999996,0.2240626277295475
,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,612.0,6.418364935936212,229,0.7455555555555555,0.8450625428643308
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,2724.0,7.9102237070973445,620,0.3111111111111111,0.9600848971294736
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,4422.0,8.394573477868327,605,0.3277777777777777,0.0841122735025317
MOVIE,FILM,,SERIES,SERIES,Action,1.0,1.0,0,0.0,,6.523562306149512,118,0.8688888888888888,0.7101037252519452
,FILM,Sci-Fi,,DOCUMENTARY,History,1.0,1.0,1,0.5,4047.0,8.305978210967302,538,0.40222222222222226,0.8282002044601076
SERIES,SERIES,Drama,,DOCUMENTARY,Science,0.0,1.0,0,0.0,2316.0,7.748028524432376,451,0.49888888888888894,0.3355580931948295
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,2275.0,7.730174795246222,362,0.5977777777777777,0.9804876192403127
,SERIES,,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,1922.0,7.56164174558878,45,0.95,0.12710951931747366
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,4990.0,8.515391569469609,98,0.8911111111111111,0.12141142495795156
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,2345.0,7.76046702921342,60,0.9333333333333333,0.7273964115754972
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,2110.0,7.65491704784832,675,0.25,0.09569809370621343
,SERIES,,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,3521.0,8.166784289056151,508,0.4355555555555556,0.6952164901559633
MOVIE,FILM,,SERIES,SERIES,Action,0.0,0.0,2,1.0,1425.0,7.262628600974241,542,0.3977777777777778,0.29920629245054786
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,3290.0,8.098946748943339,643,0.28555555555555556,0.05398686792510129
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,3297.0,8.101071503119543,780,0.1333333333333333,0.6853073711360207
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,4130.0,8.326274787396764,760,0.15555555555555556,0.6835245432082414
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,3844.0,8.254528881939745,679,0.24555555555555553,0.6936243289342786
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,,,291,0.6766666666666667,
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,1050.0,6.957497370876951,197,0.7811111111111111,0.913282749674456
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,3128.0,8.048468743668883,539,0.4011111111111111,0.9236896328136566
DOCUMENTARY,DOCUMENTARY,History,,SERIES,Comedy,0.0,0.0,0,0.0,4438.0,8.398184404834035,633,0.29666666666666663,0.05162464881600515
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,345.0,5.846438775057725,53,0.9411111111111111,0.7156821015972648
MOVIE,FILM,Sci-Fi,,DOCUMENTARY,History,0.0,1.0,1,0.5,4653.0,8.445482343862237,8,0.9911111111111112,0.5551259708722083
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,811.0,6.699500340161678,661,0.26555555555555554,0.7102002814045676
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,559.0,6.327936783729195,517,0.4255555555555556,0.9272612953091502
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,2481.0,7.8168199657645525,364,0.5955555555555556,0.0690922833167444
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,2678.0,7.893198869544609,659,0.2677777777777778,0.0371242251716833
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,2997.0,8.005700678662542,198,0.78,0.7530986755399081
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,2840.0,7.951911381854188,577,0.3588888888888889,0.09352834238878856
SERIES,SERIES,,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,114.0,4.74493212836325,129,0.8566666666666667,0.7430498819529926
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,4948.0,8.506940814951886,692,0.23111111111111116,0.28095444573668094
SERIES,SERIES,,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,4702.0,8.455955881945048,865,0.03888888888888886,0.04843575472286847
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,4651.0,8.445052513638554,285,0.6833333333333333,0.7293674743348378
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,2444.0,7.801800401908973,511,0.4322222222222222,0.7044575485770216
MOVIE,FILM,,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,4348.0,8.37770121259764,726,0.19333333333333336,0.7027104242833242
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,1136.0,7.036148493750536,384,0.5733333333333333,0.2153129708799095
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,2252.0,7.720017940432244,774,0.14,0.8086785977385226
,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,4282.0,8.36240897761537,8,0.9911111111111112,0.998304745318513
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,2679.0,7.893572073504902,112,0.8755555555555555,0.13131168006516578
MOVIE,FILM,Comedy,,SERIES,Action,0.0,1.0,0,0.0,685.0,6.530877627725885,495,0.44999999999999996,0.37296476956504904
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,2098.0,7.649216319820633,606,0.32666666666666666,0.7629485090479773
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,2502.0,7.8252452914317745,694,0.22888888888888892,0.6680776203600889
,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,3681.0,8.211211361793023,848,0.05777777777777782,0.8881608708680742
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,1497.0,7.311886164077165,158,0.8244444444444444,0.09577538083748714
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,2909.0,7.975908360165538,726,0.19333333333333336,0.04652754739726855
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,,8.242756345714477,85,0.9055555555555556,0.7920382675402073
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,,,454,0.4955555555555555,
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,3969.0,8.286521373681236,629,0.3011111111111111,0.7159884456318834
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,3038.0,8.019283792916793,458,0.49111111111111116,0.2742662792644894
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,3110.0,8.042699496897637,265,0.7055555555555555,0.09625433575330512
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,374.0,5.926926025970411,377,0.5811111111111111,0.7093355965130188
,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,2276.0,7.7306140660637395,232,0.7422222222222222,0.7461671769010616
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,4127.0,8.325548307161398,713,0.20777777777777773,0.6991170120922809
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,1059.0,6.966024187106113,88,0.9022222222222223,0.2649827467764694
MOVIE,FILM,,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,4902.0,8.497602541651233,310,0.6555555555555556,0.8328609257954414
SERIES,SERIES,Drama,,SERIES,Drama,1.0,1.0,2,1.0,4373.0,8.383433201236713,440,0.5111111111111111,0.9345002604477818
DOCUMENTARY,DOCUMENTARY,,,SERIES,Comedy,0.0,0.0,0,0.0,1782.0,7.48605261786314,877,0.025555555555555554,0.06156617696155079
MOVIE,FILM,,SERIES,SERIES,Action,1.0,1.0,0,0.0,4263.0,8.357962965845681,246,0.7266666666666667,0.7240740389906436
,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,2899.0,7.9724660159745655,186,0.7933333333333333,0.8164959259264162
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,2591.0,7.860185057472165,217,0.758888888888889,0.696824428279772
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,1083.0,6.988413181999592,321,0.6433333333333333,0.9278093788955055
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,2165.0,7.680637427560936,497,0.44777777777777783,0.09382876644410598
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,3739.0,8.226840890408578,238,0.7355555555555555,0.11439206492837731
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,4376.0,8.384118837190895,277,0.6922222222222223,0.7471995332317704
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,3637.0,8.199189359078067,677,0.24777777777777776,0.04840103998358427
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,4666.0,8.448271745949816,828,0.07999999999999996,0.6703040651587451
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,3239.0,8.083328608786376,118,0.8688888888888888,0.38158250563584845
SERIES,SERIES,,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,526.0,6.267200548541362,683,0.24111111111111116,0.0426849395796878
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,,7.638198244285779,246,0.7266666666666667,0.7403174715457704
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,2179.0,7.687080155783135,287,0.6811111111111111,0.7024181335714812
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,2012.0,7.607381425639791,222,0.7533333333333333,0.718252302050336
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,,7.60887062919126,489,0.45666666666666667,0.1880317326431224
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,1164.0,7.060476365999801,544,0.39555555555555555,0.7750602611478836
,SERIES,Drama,,SERIES,Drama,0.0,1.0,2,1.0,196.0,5.2832037287379885,510,0.43333333333333335,0.6014234132179586
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,618.0,6.428105272684596,200,0.7777777777777778,0.09226506433918316
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,,,831,0.07666666666666666,
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,2018.0,7.610357618312838,174,0.8066666666666666,0.86891287807079
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,3383.0,8.126813720726114,19,0.9788888888888889,0.7674039962619034
MOVIE,FILM,,MOVIE,FILM,Action,1.0,1.0,2,1.0,3565.0,8.179199798423086,240,0.7333333333333334,0.9896468857066196
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,4204.0,8.344029572407049,194,0.7844444444444445,0.1125744557865264
DOCUMENTARY,DOCUMENTARY,,MOVIE,FILM,Drama,0.0,0.0,0,0.0,222.0,5.407171771460119,425,0.5277777777777778,0.06411070295627593
,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,1833.0,7.51425465281641,52,0.9422222222222222,0.745227363240881
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,3220.0,8.0774471493312,416,0.5377777777777778,0.03905750986717556
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,1269.0,7.146772179452637,693,0.22999999999999998,0.6313500577359858
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,4770.0,8.470311205516108,435,0.5166666666666666,0.2896315058761062
,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,1683.0,7.428927194802272,178,0.8022222222222222,0.08332227159329898
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,2939.0,7.986164860332727,283,0.6855555555555555,0.736042848403182
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,1226.0,7.112327444710911,785,0.12777777777777777,0.6372237503156912
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,2833.0,7.949444420250626,383,0.5744444444444444,0.7014304319132656
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,3255.0,8.08825472712243,353,0.6077777777777778,0.25570242549857053
MOVIE,FILM,Action,,FILM,Sci-Fi,0.0,1.0,1,0.5,4327.0,8.372860820526318,549,0.39,0.465524795626052
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,4060.0,8.309184527686298,495,0.44999999999999996,0.9640551760659519
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,2785.0,7.932362154339751,130,0.8555555555555556,0.09280196806343592
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,3868.0,8.260751354700513,636,0.29333333333333333,0.6798846570626401
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,2732.0,7.913155185928068,867,0.036666666666666625,0.7503355836234741
